stateabb,ccode,year,nuclear_weapons,naval_tonnage,air_power,armor,ballistic_missiles,nukes_ballistic_avg,armypctI,MMP,country
IRQ,645,1938,NA,0,NA,NA,NA,NA,3.66e-5,1.83e-5,Iraq
IRQ,645,1939,NA,0,NA,NA,NA,NA,2.34e-5,1.17e-5,Iraq
IRQ,645,1940,NA,0,NA,NA,NA,NA,1.61e-5,8.06e-6,Iraq
IRQ,645,1941,NA,0,NA,NA,NA,NA,2.15e-5,1.07e-5,Iraq
IRQ,645,1942,NA,0,NA,NA,NA,NA,1.48e-5,7.42e-6,Iraq
IRQ,645,1943,NA,0,NA,NA,NA,NA,8.22e-6,4.11e-6,Iraq
IRQ,645,1944,NA,0,NA,NA,NA,NA,7.63e-6,3.81e-6,Iraq
IRQ,645,1945,0,0,NA,NA,0,0,1.77e-5,5.92e-6,Iraq
IRQ,645,1946,0,0,NA,NA,0,0,2.01e-5,6.69e-6,Iraq
IRQ,645,1947,0,0,NA,NA,0,0,9.37e-5,3.12e-5,Iraq
IRQ,645,1948,0,0,NA,NA,0,0,8.19e-5,2.73e-5,Iraq
IRQ,645,1949,0,0,NA,NA,0,0,1.327e-4,4.42e-5,Iraq
IRQ,645,1950,0,0,NA,NA,0,0,7.97e-5,2.66e-5,Iraq
IRQ,645,1951,0,0,NA,NA,0,0,4.09e-5,1.36e-5,Iraq
IRQ,645,1952,0,0,NA,NA,0,0,5.58e-5,1.86e-5,Iraq
IRQ,645,1953,0,0,NA,NA,0,0,7.22e-5,2.41e-5,Iraq
IRQ,645,1954,0,0,NA,NA,0,0,9.08e-5,3.03e-5,Iraq
IRQ,645,1955,0,0,NA,NA,0,0,8.79e-5,2.93e-5,Iraq
IRQ,645,1956,0,0,NA,NA,0,0,1.577e-4,5.26e-5,Iraq
IRQ,645,1957,0,0,NA,NA,0,0,1.732e-4,5.77e-5,Iraq
IRQ,645,1958,0,0,NA,NA,0,0,1.651e-4,5.5e-5,Iraq
EGY,651,1938,NA,0,NA,NA,NA,NA,5.909e-4,2.955e-4,Egypt
EGY,651,1939,NA,0,NA,NA,NA,NA,5.06e-5,2.53e-5,Egypt
EGY,651,1940,NA,0,NA,NA,NA,NA,3.34e-5,1.67e-5,Egypt
EGY,651,1941,NA,0,NA,NA,NA,NA,4.37e-5,2.18e-5,Egypt
EGY,651,1942,NA,0,NA,NA,NA,NA,2.79e-5,1.39e-5,Egypt
EGY,651,1943,NA,0,NA,NA,NA,NA,1.99e-5,9.94e-6,Egypt
EGY,651,1944,NA,0,NA,NA,NA,NA,1.59e-5,7.96e-6,Egypt
EGY,651,1945,0,0,NA,NA,0,0,2.65e-5,8.84e-6,Egypt
EGY,651,1946,0,0,NA,NA,0,0,4.32e-5,1.44e-5,Egypt
EGY,651,1947,0,0,NA,NA,0,0,1.24e-4,4.13e-5,Egypt
EGY,651,1948,0,0,NA,NA,0,0,1.632e-4,5.44e-5,Egypt
EGY,651,1949,0,2.49e-4,NA,NA,0,0,0.0012061,4.85e-4,Egypt
EGY,651,1950,0,6.368e-4,NA,NA,0,0,5.798e-4,4.055e-4,Egypt
EGY,651,1951,0,6.308e-4,NA,NA,0,0,2.985e-4,3.098e-4,Egypt
EGY,651,1952,0,6.322e-4,NA,NA,0,0,2.166e-4,2.829e-4,Egypt
EGY,651,1953,0,6.262e-4,NA,NA,0,0,2.035e-4,2.766e-4,Egypt
EGY,651,1954,0,6.132e-4,NA,NA,0,0,3.393e-4,3.175e-4,Egypt
EGY,651,1955,0,6.019e-4,NA,NA,0,0,6.609e-4,4.209e-4,Egypt
EGY,651,1956,0,0.0014101,NA,NA,0,0,7.174e-4,7.092e-4,Egypt
EGY,651,1957,0,0.0014438,NA,NA,0,0,5.701e-4,6.713e-4,Egypt
EGY,651,1958,0,0.0017503,NA,NA,0,0,4.072e-4,7.192e-4,Egypt
SYR,652,1946,0,0,NA,NA,0,0,3.9e-5,1.3e-5,Syria
SYR,652,1947,0,0,NA,NA,0,0,6.87e-5,2.29e-5,Syria
SYR,652,1948,0,0,NA,NA,0,0,1.2e-4,4e-5,Syria
SYR,652,1949,0,0,NA,NA,0,0,1.343e-4,4.48e-5,Syria
SYR,652,1950,0,0,NA,NA,0,0,1.931e-4,6.44e-5,Syria
SYR,652,1951,0,0,NA,NA,0,0,9.42e-5,3.14e-5,Syria
SYR,652,1952,0,0,NA,NA,0,0,6.12e-5,2.04e-5,Syria
SYR,652,1953,0,0,NA,NA,0,0,7.97e-5,2.66e-5,Syria
SYR,652,1954,0,0,NA,NA,0,0,9.06e-5,3.02e-5,Syria
SYR,652,1955,0,0,NA,NA,0,0,4.21e-5,1.4e-5,Syria
SYR,652,1956,0,0,NA,NA,0,0,1.291e-4,4.3e-5,Syria
SYR,652,1957,0,0,NA,NA,0,0,4.32e-5,1.44e-5,Syria
SYR,652,1958,0,0,NA,NA,0,0,1.011e-4,3.37e-5,Syria
LEB,660,1946,0,0,NA,NA,0,0,1.24e-5,4.13e-6,Lebanon
LEB,660,1947,0,0,NA,NA,0,0,2.9e-5,9.68e-6,Lebanon
LEB,660,1948,0,0,NA,NA,0,0,5.18e-5,1.73e-5,Lebanon
LEB,660,1949,0,0,NA,NA,0,0,8.05e-5,2.68e-5,Lebanon
LEB,660,1950,0,0,NA,NA,0,0,5.08e-5,1.69e-5,Lebanon
LEB,660,1951,0,0,NA,NA,0,0,3.5e-5,1.17e-5,Lebanon
LEB,660,1952,0,0,NA,NA,0,0,2.35e-5,7.84e-6,Lebanon
LEB,660,1953,0,0,NA,NA,0,0,2.51e-5,8.36e-6,Lebanon
LEB,660,1954,0,0,NA,NA,0,0,2.58e-5,8.61e-6,Lebanon
LEB,660,1955,0,0,NA,NA,0,0,3.62e-5,1.21e-5,Lebanon
LEB,660,1956,0,0,NA,NA,0,0,6.15e-5,2.05e-5,Lebanon
LEB,660,1957,0,0,NA,NA,0,0,4.87e-5,1.62e-5,Lebanon
LEB,660,1958,0,0,NA,NA,0,0,5.91e-5,1.97e-5,Lebanon
JOR,663,1946,0,0,NA,NA,0,0,1.05e-5,3.49e-6,Jordan
JOR,663,1947,0,0,NA,NA,0,0,3.68e-5,1.23e-5,Jordan
JOR,663,1948,0,0,NA,NA,0,0,4.48e-5,1.49e-5,Jordan
JOR,663,1949,0,0,NA,NA,0,0,5.29e-5,1.76e-5,Jordan
JOR,663,1950,0,0,NA,NA,0,0,8.46e-5,2.82e-5,Jordan
JOR,663,1951,0,0,NA,NA,0,0,1.035e-4,3.45e-5,Jordan
JOR,663,1952,0,0,NA,NA,0,0,7.89e-5,2.63e-5,Jordan
JOR,663,1953,0,0,NA,NA,0,0,8.05e-5,2.68e-5,Jordan
JOR,663,1954,0,0,NA,NA,0,0,9.37e-5,3.12e-5,Jordan
JOR,663,1955,0,0,NA,NA,0,0,9.65e-5,3.22e-5,Jordan
JOR,663,1956,0,0,NA,NA,0,0,8.61e-5,2.87e-5,Jordan
JOR,663,1957,0,0,NA,NA,0,0,6.21e-5,2.07e-5,Jordan
JOR,663,1958,0,0,NA,NA,0,0,6.41e-5,2.14e-5,Jordan
ISR,666,1938,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1939,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1940,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1941,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1942,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1943,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1944,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1945,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1946,NA,NA,NA,NA,NA,NA,NA,0,Israel
ISR,666,1947,NA,NA,NA,NA,NA,NA,NA,1.6198181818180557e-5,Israel
ISR,666,1948,0,0,NA,NA,0,0,1.938e-4,6.46e-5,Israel
ISR,666,1949,0,0,NA,NA,0,0,2.16e-4,7.2e-5,Israel
ISR,666,1950,0,2.839e-4,NA,NA,0,0,1.514e-4,1.451e-4,Israel
ISR,666,1951,0,4.218e-4,NA,NA,0,0,7.46e-5,1.655e-4,Israel
ISR,666,1952,0,4.227e-4,NA,NA,0,0,1.18e-5,1.449e-4,Israel
ISR,666,1953,0,4.188e-4,NA,NA,0,0,1.16e-5,1.434e-4,Israel
ISR,666,1954,0,4.1e-4,NA,NA,0,0,1.23e-5,1.408e-4,Israel
ISR,666,1955,0,7.734e-4,NA,NA,0,0,1.81e-5,2.638e-4,Israel
ISR,666,1956,0,8.656e-4,NA,NA,0,0,5.85e-5,3.08e-4,Israel
ISR,666,1957,0,8.692e-4,NA,NA,0,0,9.68e-5,3.22e-4,Israel
ISR,666,1958,0,0.001012,NA,NA,0,0,1.535e-4,3.885e-4,Israel
